# freq	per	pow	amp
 1.5666567356033695E-001	 6.3830191852133336E+000	 8.7371409351292051E-001	 2.3270770647701305E-002
 1.5798774675493896E-001	 6.3296047987261916E+000	 1.3028821656463352E+000	 2.8073923530319039E-002
 1.5930981994954097E-001	 6.2770769580728620E+000	 2.4164897413718691E+000	 3.7576674041087971E-002
 1.6063189314414297E-001	 6.2254137732327566E+000	 4.7063901165352693E+000	 5.2968634336641562E-002
 1.6195396633874498E-001	 6.1745940689614685E+000	 6.6385722582086384E+000	 6.2859052156120435E-002
 1.6327603953334699E-001	 6.1245973558524680E+000	 6.4787131018643382E+000	 6.1522237058050051E-002
 1.6459811272794900E-001	 6.0754038027934119E+000	 4.7928527563432821E+000	 5.2715136069283491E-002
 1.6592018592255101E-001	 6.0269942107392804E+000	 3.0023499747502873E+000	 4.2193007882174616E-002
 1.6724225911715301E-001	 5.9793499877294840E+000	 1.4913650477577800E+000	 2.9923290230151688E-002
 1.6856433231175502E-001	 5.9324531250806247E+000	 3.6634765692309401E-001	 1.4810148154177838E-002
 1.6988640550635703E-001	 5.8862861746908921E+000	 3.4270002840990965E-001	 1.4163118133907734E-002
 1.7120847870095904E-001	 5.8408322273959810E+000	 1.8695436270174581E+000	 3.3574389669057361E-002
 1.7253055189556105E-001	 5.7960748923201502E+000	 3.1503096988803962E+000	 4.3286460265185803E-002
 1.7385262509016305E-001	 5.7519982771694256E+000	 2.4556094852028951E+000	 3.7741278016401300E-002
 1.7517469828476506E-001	 5.7085869694172038E+000	 1.0198126125146054E+000	 2.4025173681820503E-002
 1.7649677147936707E-001	 5.6658260183354265E+000	 4.1032072450977153E-001	 1.5419157788684979E-002
 1.7781884467396908E-001	 5.6237009178273558E+000	 2.5866445856091486E-001	 1.2279399373023631E-002
 1.7914091786857109E-001	 5.5821975900205123E+000	 1.6226434299061282E-001	 9.6340774193129780E-003
 1.8046299106317309E-001	 5.5413023695808015E+000	 3.1846976895144297E-001	 1.3609577174901976E-002
 1.8178506425777510E-001	 5.5010019887111223E+000	 5.9483549957566317E-001	 1.8311080915259244E-002
 1.8310713745237711E-001	 5.4612835627998502E+000	 6.3921956802258495E-001	 1.9078555314883262E-002
 1.8442921064697912E-001	 5.4221345766865898E+000	 3.0086638856391063E-001	 1.3173767875131626E-002
 1.8575128384158113E-001	 5.3835428715144431E+000	 2.0525777214772553E-001	 1.0890379696843189E-002
 1.8707335703618314E-001	 5.3454966321397821E+000	 6.7004769945428710E-001	 1.9201046319727504E-002
 1.8839543023078514E-001	 5.3079843750721345E+000	 9.1550950915228946E-001	 2.2767309042389529E-002
 1.8971750342538715E-001	 5.2709949369183215E+000	 6.0818753875925580E-001	 1.9013283114529399E-002
 1.9103957661998916E-001	 5.2345174633064300E+000	 3.9027230390951217E-001	 1.5265061828039429E-002
 1.9236164981459117E-001	 5.1985413982665225E+000	 4.9007613645091797E-001	 1.6934049082394965E-002
 1.9368372300919318E-001	 5.1630564740462734E+000	 8.7800528454418547E-001	 2.2266825381524063E-002
 1.9500579620379518E-001	 5.1280527013408745E+000	 1.7790067974688983E+000	 3.1710606111915340E-002
 1.9632786939839719E-001	 5.0935203599177035E+000	 2.8542217223249131E+000	 4.0223885372447692E-002
 1.9764994259299920E-001	 5.0594499896172511E+000	 3.2822118867361123E+000	 4.3775697402148733E-002
 1.9897201578760121E-001	 5.0258323817128172E+000	 2.1093895362990760E+000	 3.4964511716972298E-002
 2.0029408898220322E-001	 4.9926585706124023E+000	 3.9409056485859445E-001	 1.5167824440741452E-002
 2.0161616217680522E-001	 4.9599198258870745E+000	 3.2086365451322935E-001	 1.3560036123103230E-002
 2.0293823537140723E-001	 4.9276076446109371E+000	 1.7025002535405398E+000	 3.1023835534913512E-002
 2.0426030856600924E-001	 4.8957137439985683E+000	 2.0434566787435422E+000	 3.4020457335648756E-002
 2.0558238176061125E-001	 4.8642300543265522E+000	 1.3003344871570703E+000	 2.7701105203681915E-002
 2.0690445495521326E-001	 4.8331487121263823E+000	 1.6347330066648331E+000	 3.1062620422437112E-002
 2.0822652814981527E-001	 4.8024620536366909E+000	 2.8595561207652609E+000	 4.0383079140642875E-002
 2.0954860134441727E-001	 4.7721626085033364E+000	 2.9218512716062288E+000	 4.1124031066218029E-002
 2.1087067453901928E-001	 4.7422430937164810E+000	 1.5884295300397644E+000	 3.0213957682325925E-002
 2.1219274773362129E-001	 4.7126964077743221E+000	 6.9465581030589019E-001	 2.0028330425636530E-002
 2.1351482092822330E-001	 4.6835156250636452E+000	 6.6435832897435509E-001	 1.9841278658826497E-002
 2.1483689412282531E-001	 4.6546939904478686E+000	 6.4214645980630236E-001	 1.9376405367127904E-002
 2.1615896731742731E-001	 4.6262249140536920E+000	 3.6121154583063547E-001	 1.4411555478170399E-002
 2.1748104051202932E-001	 4.5981019662478948E+000	 1.3978140654559615E-001	 9.0017329936230867E-003
 2.1880311370663133E-001	 4.5703188727962454E+000	 1.1545769240196128E-001	 8.2938461301753086E-003
 2.2012518690123334E-001	 4.5428695101968684E+000	 2.1676825148754664E-001	 1.1267354824812496E-002
 2.2144726009583535E-001	 4.5157479011807675E+000	 3.7574925572147799E-001	 1.4645645524138206E-002
 2.2276933329043735E-001	 4.4889482103725733E+000	 4.0385484428533353E-001	 1.4963494076535223E-002
 2.2409140648503936E-001	 4.4624647401048883E+000	 1.8495937238673821E-001	 1.0179912334207258E-002
 2.2541347967964137E-001	 4.4362919263799325E+000	 4.0477937531279116E-002	 4.8656304419776959E-003
 2.2673555287424338E-001	 4.4104243349724692E+000	 2.6726321061062197E-001	 1.2644144654321446E-002
 2.2805762606884539E-001	 4.3848566576682808E+000	 4.6941353581910605E-001	 1.6526139398164212E-002
 2.2937969926344740E-001	 4.3595837086327291E+000	 3.7631989036029678E-001	 1.4811410467839615E-002
 2.3070177245804940E-001	 4.3346004209041746E+000	 2.1335924963857680E-001	 1.1170396546629319E-002
 2.3202384565265141E-001	 4.3099018430072844E+000	 1.8863499287014465E-001	 1.0465293358198268E-002
 2.3334591884725342E-001	 4.2854831356814636E+000	 3.9106498448870164E-001	 1.5202774231330986E-002
 2.3466799204185543E-001	 4.2613395687198778E+000	 1.0118090000217737E+000	 2.4813015196465570E-002
 2.3599006523645744E-001	 4.2374665179147248E+000	 2.1368142765996154E+000	 3.5737423834844580E-002
 2.3731213843105944E-001	 4.2138594621046144E+000	 3.4542709382926446E+000	 4.5293890039139209E-002
 2.3863421162566145E-001	 4.1905139803201017E+000	 4.0021391250359297E+000	 4.8711552691993343E-002
 2.3995628482026346E-001	 4.1674257490235718E+000	 3.3252333658986237E+000	 4.4184425213060617E-002
 2.4127835801486547E-001	 4.1445905394398812E+000	 2.5237301709540381E+000	 3.8032005167154027E-002
 2.4260043120946748E-001	 4.1220042149742682E+000	 3.0267967942693113E+000	 4.1743385685861979E-002
 2.4392250440406948E-001	 4.0996627287142449E+000	 4.6165888930998245E+000	 5.1901204447076930E-002
 2.4524457759867149E-001	 4.0775621210122814E+000	 5.2881846402776418E+000	 5.5086127414750767E-002
 2.4656665079327350E-001	 4.0556985171462641E+000	 3.9358390628549942E+000	 4.7674095972007426E-002
 2.4788872398787551E-001	 4.0340681250548167E+000	 1.8418087960751504E+000	 3.2842660486214093E-002
 2.4921079718247752E-001	 4.0126672331447120E+000	 1.1335646776053196E+000	 2.5502230891446837E-002
