2460534.4757	4.2			Vis.	AAX		40	44	ATLAS		No		G				ETA AQL		STD					
2460534.6035	4.1			Vis.	BGZ		37	42	X22749BYO		No		G				ETA AQL		STD					
2460534.7019	4.0			Vis.	HPAB		37	40	10 star tutorial		No		G				eta Aql		STD					
2460535.29236	3.8			Vis.	KSQ	B	37	44	10STAR		No		G				ETA AQL		STD					
2460535.4354	3.6			Vis.	AAX	B	33	37	ATLAS	MOON	No		G				ETA AQL		STD					
2460535.59236	3.95			Vis.	SSHA		37	44	10star		No		G				ETA AQL		STD					
2460535.6465	3.8			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460535.7233	3.6			Vis.	HPAB		34	37	10 star tutorial		No		G				eta Aql		STD					
2460536.36458	3.5			Vis.	MOSB		3.2	3.7	Stellarium		No		G				eta aql		STD					
2460536.3895	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460536.416	3.5			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460536.4715	3.64			Vis.	DPV		3.36	3.71	OSE2001		No		G				ETA AQL		STD					
2460536.4889	3.6			Vis.	AAX	B	33	37	ATLAS	MOON	No		G				ETA AQL		STD					
2460536.7116	3.7			Vis.	HPAB		34	37	10 star tutorial		No		G				eta Aql		STD					
2460537.4013	3.9			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460537.402	3.6			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460537.441	3.59			Vis.	DPV		3.36	3.71	OSE2001		No		G				ETA AQL		STD					
2460537.7053	3.8			Vis.	HPAB		37	40	10 star tutorial		No		G				eta Aql		STD					
2460538.409	3.9			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460541.7207	4.1			Vis.	HPAB		40	44	10 star tutorial		No		G				eta Aql		STD					
2460542.6063	3.9			Vis.	BGZ		37	44	X22749BYO		No		G				ETA AQL		STD					
2460542.6844	3.6			Vis.	HPAB		34	37	10 star tutorial		No		G				eta Aql		STD					
2460543.6829	3.5			Vis.	HPAB		34	37	10 star tutorial		No		G				eta Aql		STD					
2460544.388	3.5			Vis.	MQA	BU	3.7		AAVSO		No		G				ETA AQL		STD					
2460544.3951	3.6			Vis.	CME	BU	34	37	12611AYJ	BIN. 7x50 - MOON, HAZE	No		G				ETA AQL		STD					
2460544.6735	3.8			Vis.	HPAB		37	40	10 star tutorial		No		G				eta Aql		STD					
2460545.32639	3.7			Vis.	MOSB	BU	3.7	3.2	AAVSO		No		G				eta aql		STD					
2460545.3743	3.8			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
2460545.63681	3.6			Vis.	SSHA		37	34	10star		No		G				ETA AQL		STD					
2460545.6788	3.7			Vis.	HPAB		37	40	10 star tutorial		No		G				eta Aql		STD					
2460546.3868	3.9			Vis.	MJZ		3.4	4.5	X24744US		No		G				Eta Aql		STD					
